Sort,Field Name,Field Alias,Type,Length,Relevant Layer,Metric Type,Version,Version Date
274,LTNG_EVNTS,Lightning - Number of Events,Double,8,Lightning,Number of Events,1.19.0,Mar-23
275,LTNG_AFREQ,Lightning - Annualized Frequency,Double,8,Lightning,Annualized Frequency,1.19.0,Mar-23
276,LTNG_EXPB,Lightning - Exposure - Building Value,Double,8,Lightning,Exposure - Building Value,1.19.0,Mar-23
277,LTNG_EXPP,Lightning - Exposure - Population,Double,8,Lightning,Exposure - Population,1.19.0,Mar-23
278,LTNG_EXPPE,Lightning - Exposure - Population Equivalence,Double,8,Lightning,Exposure - Population Equivalence,1.19.0,Mar-23
279,LTNG_EXPT,Lightning - Exposure - Total,Double,8,Lightning,Exposure - Total,1.19.0,Mar-23
280,LTNG_EXP_AREA,Lightning - Exposure - Impacted Area (sq mi),Double,8,Lightning,Exposure - Area,1.19.0,Mar-23
281,LTNG_HLRB,Lightning - Historic Loss Ratio - Buildings,Double,8,Lightning,Historic Loss Ratio - Buildings,1.19.0,Mar-23
282,LTNG_HLRP,Lightning - Historic Loss Ratio - Population,Double,8,Lightning,Historic Loss Ratio - Population,1.19.0,Mar-23
283,LTNG_HLRR,Lightning - Historic Loss Ratio - Total Rating,String,50,Lightning,Historic Loss Ratio - Total Rating,1.19.0,Mar-23
284,LTNG_EALB,Lightning - Expected Annual Loss - Building Value,Double,8,Lightning,Expected Annual Loss - Building Value,1.19.0,Mar-23
285,LTNG_EALP,Lightning - Expected Annual Loss - Population,Double,8,Lightning,Expected Annual Loss - Population,1.19.0,Mar-23
286,LTNG_EALPE,Lightning - Expected Annual Loss - Population Equivalence,Double,8,Lightning,Expected Annual Loss - Population Equivalence,1.19.0,Mar-23
287,LTNG_EALT,Lightning - Expected Annual Loss - Total,Double,8,Lightning,Expected Annual Loss - Total,1.19.0,Mar-23
288,LTNG_EALS,Lightning - Expected Annual Loss Score,Double,8,Lightning,Expected Annual Loss Score,1.19.0,Mar-23
289,LTNG_EALR,Lightning - Expected Annual Loss Rating,String,50,Lightning,Expected Annual Loss Rating,1.19.0,Mar-23
290,LTNG_ALRB,Lightning - Expected Annual Loss Rate - Building,Double,8,Lightning,Expected Annual Loss Rate - Building,1.19.0,Mar-23
291,LTNG_ALRP,Lightning - Expected Annual Loss Rate - Population,Double,8,Lightning,Expected Annual Loss Rate - Population,1.19.0,Mar-23
292,LTNG_ALR_NPCTL,Lightning - Expected Annual Loss Rate - National Percentile,Double,8,Lightning,National Percentile,1.19.0,Mar-23
293,LTNG_RISKV,Lightning - Hazard Type Risk Index Value,Double,8,Lightning,Hazard Type Risk Index Value,1.19.0,Mar-23
294,LTNG_RISKS,Lightning - Hazard Type Risk Index Score,Double,8,Lightning,Hazard Type Risk Index Score,1.19.0,Mar-23
295,LTNG_RISKR,Lightning - Hazard Type Risk Index Rating,String,50,Lightning,Hazard Type Risk Index Rating,1.19.0,Mar-23
296,RFLD_EVNTS,Riverine Flooding - Number of Events,Double,8,Riverine Flooding,Number of Events,1.19.0,Mar-23
297,RFLD_AFREQ,Riverine Flooding - Annualized Frequency,Double,8,Riverine Flooding,Annualized Frequency,1.19.0,Mar-23
298,RFLD_EXPB,Riverine Flooding - Exposure - Building Value,Double,8,Riverine Flooding,Exposure - Building Value,1.19.0,Mar-23
299,RFLD_EXPP,Riverine Flooding - Exposure - Population,Double,8,Riverine Flooding,Exposure - Population,1.19.0,Mar-23
300,RFLD_EXPPE,Riverine Flooding - Exposure - Population Equivalence,Double,8,Riverine Flooding,Exposure - Population Equivalence,1.19.0,Mar-23
301,RFLD_EXPA,Riverine Flooding - Exposure - Agriculture Value,Double,8,Riverine Flooding,Exposure - Agriculture Value,1.19.0,Mar-23
302,RFLD_EXPT,Riverine Flooding - Exposure - Total,Double,8,Riverine Flooding,Exposure - Total,1.19.0,Mar-23
303,RFLD_EXP_AREA,Riverine Flooding - Exposure - Impacted Area (sq mi),Double,8,Riverine Flooding,Exposure - Area,1.19.0,Mar-23
304,RFLD_HLRB,Riverine Flooding - Historic Loss Ratio - Buildings,Double,8,Riverine Flooding,Historic Loss Ratio - Buildings,1.19.0,Mar-23
305,RFLD_HLRP,Riverine Flooding - Historic Loss Ratio - Population,Double,8,Riverine Flooding,Historic Loss Ratio - Population,1.19.0,Mar-23
306,RFLD_HLRA,Riverine Flooding - Historic Loss Ratio - Agriculture,Double,8,Riverine Flooding,Historic Loss Ratio - Agriculture,1.19.0,Mar-23
307,RFLD_HLRR,Riverine Flooding - Historic Loss Ratio - Total Rating,String,50,Riverine Flooding,Historic Loss Ratio - Total Rating,1.19.0,Mar-23
308,RFLD_EALB,Riverine Flooding - Expected Annual Loss - Building Value,Double,8,Riverine Flooding,Expected Annual Loss - Building Value,1.19.0,Mar-23
309,RFLD_EALP,Riverine Flooding - Expected Annual Loss - Population,Double,8,Riverine Flooding,Expected Annual Loss - Population,1.19.0,Mar-23
310,RFLD_EALPE,Riverine Flooding - Expected Annual Loss - Population Equivalence,Double,8,Riverine Flooding,Expected Annual Loss - Population Equivalence,1.19.0,Mar-23
311,RFLD_EALA,Riverine Flooding - Expected Annual Loss - Agriculture Value,Double,8,Riverine Flooding,Expected Annual Loss - Agriculture Value,1.19.0,Mar-23
312,RFLD_EALT,Riverine Flooding - Expected Annual Loss - Total,Double,8,Riverine Flooding,Expected Annual Loss - Total,1.19.0,Mar-23
313,RFLD_EALS,Riverine Flooding - Expected Annual Loss Score,Double,8,Riverine Flooding,Expected Annual Loss Score,1.19.0,Mar-23
314,RFLD_EALR,Riverine Flooding - Expected Annual Loss Rating,String,50,Riverine Flooding,Expected Annual Loss Rating,1.19.0,Mar-23
315,RFLD_ALRB,Riverine Flooding - Expected Annual Loss Rate - Building,Double,8,Riverine Flooding,Expected Annual Loss Rate - Building,1.19.0,Mar-23
316,RFLD_ALRP,Riverine Flooding - Expected Annual Loss Rate - Population,Double,8,Riverine Flooding,Expected Annual Loss Rate - Population,1.19.0,Mar-23
317,RFLD_ALRA,Riverine Flooding - Expected Annual Loss Rate - Agriculture,Double,8,Riverine Flooding,Expected Annual Loss Rate - Agriculture,1.19.0,Mar-23
